State,District,Population,Area (in km^2),Latitude,Longitude
Andhra Pradesh,Anantapur,4083315,19130,14.70,77.60
Andhra Pradesh,Chittoor,4170468,15152,14.47,78.82
Andhra Pradesh,East Godavari,5151549,10807,16.95,82.25
Andhra Pradesh,Guntur,4889230,11391,16.30,80.45
Andhra Pradesh,Kadapa,2884524,15359,14.47,78.82
Andhra Pradesh,Krishna,4529009,8727,16.28,81.22
Andhra Pradesh,Kurnool,4046601,17658,15.80,77.97
Andhra Pradesh,Prakasam,3392764,17626,15.33,79.55
Andhra Pradesh,Sri Potti Sriramulu Nellore,2966082,13076,14.43,80.00
Andhra Pradesh,Srikakulam,2699471,5837,18.42,84.02
Andhra Pradesh,Visakhapatnam,4288113,11161,17.70,83.28
Andhra Pradesh,Vizianagaram,2342868,6539,18.20,83.40
Andhra Pradesh,West Godavari,3934782,7742,16.12,81.02
Arunachal Pradesh,Anjaw,21089,6190,27.92,96.33
Arunachal Pradesh,Changlang,147951,4662,27.12,95.73
Arunachal Pradesh,East Kameng,78413,4134,0.00,0.00
Arunachal Pradesh,East Siang,99019,3603,0.00,0.00
Arunachal Pradesh,Kamle,22256,200,0.00,0.00
Arunachal Pradesh,Kra Daadi,0,0,0.00,0.00
Arunachal Pradesh,Kurung Kumey,89717,6040,27.90,93.35
Arunachal Pradesh,Lepa Rada,0,0,0.00,0.00
Arunachal Pradesh,Lohit,145538,2402,28.00,96.50
Arunachal Pradesh,Longding,60000,1200,0.00,0.00
Arunachal Pradesh,Lower Dibang Valley,53986,3900,28.13,95.83
Arunachal Pradesh,Lower Siang,80597,0,0.00,0.00
Arunachal Pradesh,Lower Subansiri,82839,3508,27.80,93.60
Arunachal Pradesh,Namsai,95950,1587,27.67,95.87
Arunachal Pradesh,Pakke-Kessang,0,0,0.00,0.00
Arunachal Pradesh,Papum Pare,176385,2875,27.15,93.72
Arunachal Pradesh,Shi Yomi,13310,2875,0.00,0.00
Arunachal Pradesh,Siang,31920,2919,28.20,94.98
Arunachal Pradesh,Tawang,49950,2085,27.58,91.85
Arunachal Pradesh,Tirap,111997,2362,26.98,95.50
Arunachal Pradesh,Upper Dibang Valley,7948,9129,28.70,95.70
Arunachal Pradesh,Upper Siang,35289,6188,28.60,95.03
Arunachal Pradesh,Upper Subansiri,83205,7032,28.30,94.00
Arunachal Pradesh,West Kameng,87013,7422,0.00,0.00
Arunachal Pradesh,West Siang,112272,8325,28.40,94.55
Assam,Baksa,953773,2008,26.57,91.42
Assam,Barpeta,1693190,3245,26.53,91.00
Assam,Bishwanath,612491,1100,0.00,0.00
Assam,Bongaigaon,732639,1724,26.47,90.57
Assam,Cachar,1736319,3786,25.08,92.92
Assam,Charaideo,0,0,26.92,94.73
Assam,Chirang,481818,1975,0.00,0.00
Assam,Darrang,908090,1849,26.75,92.50
Assam,Dhemaji,688077,3237,27.47,94.55
Assam,Dhubri,1948632,2838,26.03,89.97
Assam,Dibrugarh,1327748,3381,27.47,94.92
Assam,Dima Hasao,213529,4888,25.18,93.03
Assam,Goalpara,1008959,1824,26.43,90.37
Assam,Golaghat,1058674,3502,26.00,93.00
Assam,Hailakandi,659260,1327,24.68,92.57
Assam,Hojai,931218,0,26.00,92.87
Assam,Jorhat,1091295,2851,26.75,94.22
Assam,Kamrup,1517202,3480,26.33,91.25
Assam,Kamrup Metropolitan,1260419,627,26.18,91.73
Assam,Karbi Anglong,965280,10434,26.18,93.57
Assam,Karimganj,1217002,1809,24.87,92.35
Assam,Kokrajhar,886999,3129,26.40,90.27
Assam,Lakhimpur,1040644,2277,27.22,94.10
Assam,Majuli,167304,880,26.95,94.17
Assam,Morigaon,957853,1704,26.25,92.33
Assam,Nagaon,2826006,3831,26.35,92.67
Assam,Nalbari,769919,1009,26.45,91.43
Assam,Sivasagar,1150253,2668,26.98,94.62
Assam,South Salmara,555114,568,25.68,89.98
Assam,Sonitpur,1925975,5324,26.63,92.80
Assam,Tinsukia,1316948,3790,27.48,95.35
Assam,Udalguri,832769,1676,26.73,92.08
Assam,West Karbi Anglong,300320,3035,17.35,75.17
Bihar,Araria,2806200,2829,26.12,87.47
Bihar,Arwal,700843,638,25.23,84.67
Bihar,Aurangabad,2511243,3303,19.88,75.32
Bihar,Banka,2029339,3018,0.00,0.00
Bihar,Begusarai,2954367,1917,25.42,86.13
Bihar,Bhagalpur,3032226,2569,25.00,86.92
Bihar,Bhojpur,2720155,2473,0.00,0.00
Bihar,Buxar,1707643,1624,25.55,83.97
Bihar,Darbhanga,3921971,2278,26.00,86.00
Bihar,East Champaran,5082868,3969,26.65,84.92
Bihar,Gaya,4379383,4978,24.75,85.00
Bihar,Gopalganj,2558037,2033,0.00,0.00
Bihar,Jamui,1756078,3099,24.92,86.22
Bihar,Jehanabad,1124176,1569,24.75,85.00
Bihar,Kaimur,1626900,3363,25.03,83.60
Bihar,Katihar,3068149,3056,25.55,87.57
Bihar,Khagaria,1657599,1486,25.50,86.47
Bihar,Kishanganj,1690948,1884,25.67,86.93
Bihar,Lakhisarai,1000717,1229,25.17,86.08
Bihar,Madhepura,1994618,1787,25.90,86.77
Bihar,Madhubani,4476044,3501,26.35,86.07
Bihar,Munger,1359054,1419,25.37,86.45
Bihar,Muzaffarpur,4778610,3173,26.12,85.38
Bihar,Nalanda,2872523,2354,25.20,85.52
Bihar,Nawada,2216653,2492,24.75,85.00
Bihar,Patna,5772804,3202,25.42,85.17
Bihar,Purnia,3273127,3228,25.77,87.47
Bihar,Rohtas,2962593,3850,24.95,84.00
Bihar,Saharsa,1897102,1702,25.88,86.60
Bihar,Samastipur,4254782,2905,25.85,85.77
Bihar,Saran,3943098,2641,25.92,84.75
Bihar,Sheikhpura,634927,689,25.12,85.85
Bihar,Sheohar,656916,443,26.52,85.30
Bihar,Sitamarhi,3419622,2199,26.60,85.48
Bihar,Siwan,3318176,2219,26.20,84.40
Bihar,Supaul,2228397,2410,25.92,86.25
Bihar,Vaishali,3495021,2036,0.00,0.00
Bihar,West Champaran,3935042,5229,0.00,0.00
Chhattisgarh,Balod,826165,3527,20.73,81.20
Chhattisgarh,Baloda Bazar,1305343,4748,21.67,82.17
Chhattisgarh,Balrampur,598855,3806,27.43,82.18
Chhattisgarh,Bastar,1302253,4030,19.07,82.02
Chhattisgarh,Bemetara,197035,2855,21.70,81.53
Chhattisgarh,Bijapur,229832,6562,16.83,75.72
Chhattisgarh,Bilaspur,1961922,5818,0.00,0.00
Chhattisgarh,Dantewada,533638,3411,18.90,81.35
Chhattisgarh,Dhamtari,799199,2029,20.70,81.53
Chhattisgarh,Durg,3343079,8542,21.18,81.28
Chhattisgarh,Gariaband,597653,5823,20.63,82.07
Chhattisgarh,Janjgir-Champa,1620632,3848,22.02,82.57
Chhattisgarh,Jashpur,852043,5825,22.90,84.15
Chhattisgarh,Kabirdham,584667,4237,22.02,81.25
Chhattisgarh,Kanker,748593,6513,20.27,81.48
Chhattisgarh,Kondagaon,578326,7769,19.60,81.67
Chhattisgarh,Korba,1206563,6615,22.35,82.68
Chhattisgarh,Koriya,659039,6578,23.25,82.55
Chhattisgarh,Mahasamund,1032275,4779,21.10,82.10
Chhattisgarh,Mungeli,701707,2750,22.07,81.67
Chhattisgarh,Narayanpur,140206,6640,19.72,81.25
Chhattisgarh,Raigarh,1493627,7068,21.90,83.40
Chhattisgarh,Raipur,4062160,13083,20.92,82.00
Chhattisgarh,Rajnandgaon,1537520,8062,21.10,81.03
Chhattisgarh,Sukma,249000,5636,18.40,81.67
Chhattisgarh,Surajpur,660280,6787,23.22,82.85
Chhattisgarh,Surguja,420661,3265,23.12,83.20
Goa,North Goa,817761,1736,15.48,73.82
Goa,South Goa,639962,1966,15.27,73.95
Gujarat,Ahmedabad,7208200,8707,23.03,72.58
Gujarat,Amreli,1513614,6760,21.42,71.25
Gujarat,Anand,2090276,2942,22.57,72.93
Gujarat,Aravalli,1051746,3217,24.02,73.03
Gujarat,Banaskantha,3116045,12703,24.17,72.42
Gujarat,Bharuch,1550822,6524,20.70,72.98
Gujarat,Bhavnagar,2877961,11155,21.77,72.13
Gujarat,Botad,656005,2564,22.17,71.67
Gujarat,Chhota Udepur,1071831,3237,0.00,0.00
Gujarat,Dahod,2126558,3642,22.83,74.25
Gujarat,Dang,226769,1764,0.00,0.00
Gujarat,Devbhoomi Dwarka,752484,5684,22.20,69.65
Gujarat,Gandhinagar,1387478,649,23.22,72.68
Gujarat,Gir Somnath,1217477,3754,0.00,0.00
Gujarat,Jamnagar,2159130,14125,22.22,69.70
Gujarat,Junagadh,2742291,8839,21.52,70.45
Gujarat,Kheda,2298934,4215,22.75,72.68
Gujarat,Kutch,2090313,45652,23.90,70.37
Gujarat,Mahisagar,994624,2500,23.12,73.62
Gujarat,Mehsana,2027727,4386,23.67,72.50
Gujarat,Morbi,960329,4871,22.82,70.83
Gujarat,Narmada,590379,2749,21.87,73.50
Gujarat,Navsari,1330711,2211,20.95,72.92
Gujarat,Panchmahal,2388267,5219,22.75,73.60
Gujarat,Patan,1342746,5738,23.83,72.12
Gujarat,Porbandar,586062,2294,21.62,69.60
Gujarat,Rajkot,3157676,11203,22.30,70.78
Gujarat,Sabarkantha,2427346,7390,23.60,72.95
Gujarat,Surat,4996391,4327,20.92,73.05
Gujarat,Surendranagar,1755873,10489,22.73,71.52
Gujarat,Tapi,806489,3435,21.12,73.40
Gujarat,Vadodara,3639775,7794,22.18,73.12
Gujarat,Valsad,1703068,3034,20.60,72.92
Haryana,Ambala,1136784,1569,30.42,77.17
Haryana,Bhiwani,1629109,5140,28.78,76.13
Haryana,Charkhi Dadri,502276,1370,28.58,76.27
Haryana,Faridabad,1798954,783,28.40,77.32
Haryana,Fatehabad,941522,2538,29.32,75.27
Haryana,Gurgaon,1514085,1258,28.25,77.17
Haryana,Hissar,1742815,3788,29.17,75.72
Haryana,Jhajjar,956907,1868,28.60,76.65
Haryana,Jind,1332042,2702,29.30,76.32
Haryana,Kaithal,1072861,2799,29.80,76.38
Haryana,Karnal,1506323,2471,29.67,76.83
Haryana,Kurukshetra,964231,1530,29.97,76.85
Haryana,Mahendragarh,921680,1900,28.03,76.10
Haryana,Nuh,1089406,1765,28.10,77.00
Haryana,Palwal,1040493,1367,28.15,77.33
Haryana,Panchkula,558890,816,30.68,76.85
Haryana,Panipat,1202811,1250,29.38,76.97
Haryana,Rewari,896129,1559,27.95,76.28
Haryana,Rohtak,1058683,1668,28.53,76.33
Haryana,Sirsa,1295114,4276,29.53,75.02
Haryana,Sonipat,1480080,2260,28.98,77.02
Haryana,Yamuna Nagar,1214162,1756,30.12,77.27
Himachal Pradesh,Bilaspur,382056,1167,0.00,0.00
Himachal Pradesh,Chamba,518844,6528,32.55,76.12
Himachal Pradesh,Hamirpur,454293,1118,0.00,0.00
Himachal Pradesh,Kangra,1507223,5739,32.22,76.32
Himachal Pradesh,Kinnaur,84298,6401,31.58,78.42
Himachal Pradesh,Kullu,437474,5503,0.00,0.00
Himachal Pradesh,Lahaul and Spiti,31528,13835,32.50,77.83
Himachal Pradesh,Mandi,999518,3950,0.00,0.00
Himachal Pradesh,Shimla,813384,5131,31.10,77.17
Himachal Pradesh,Sirmaur,530164,2825,30.63,77.43
Himachal Pradesh,Solan,576670,1936,30.90,77.08
Himachal Pradesh,Una,521057,1540,31.47,76.27
Jharkhand,Bokaro,2061918,2861,23.68,86.10
Jharkhand,Chatra,1042304,3700,24.20,84.87
Jharkhand,Deoghar,1491879,2479,24.48,86.70
Jharkhand,Dhanbad,2682662,2075,23.78,86.42
Jharkhand,Dumka,1321096,4404,24.27,87.25
Jharkhand,East Singhbhum,2291032,3533,22.80,86.18
Jharkhand,Garhwa,1322387,4064,24.17,83.80
Jharkhand,Giridih,2445203,4887,24.17,86.32
Jharkhand,Godda,1311382,2110,24.82,87.22
Jharkhand,Gumla,1025656,5327,23.00,84.50
Jharkhand,Hazaribag,1734005,4302,24.00,85.25
Jharkhand,Jamtara,790207,1802,23.95,86.80
Jharkhand,Khunti,530299,2467,23.07,85.27
Jharkhand,Koderma,717169,1312,24.47,85.58
Jharkhand,Latehar,725673,3630,23.72,84.47
Jharkhand,Lohardaga,461738,1494,23.43,84.68
Jharkhand,Pakur,899200,1805,24.62,87.85
Jharkhand,Palamu,1936319,5082,24.02,84.07
Jharkhand,Ramgarh,949159,1212,23.62,85.52
Jharkhand,Ranchi,2912022,7974,23.00,85.00
Jharkhand,Sahibganj,1150038,1599,25.25,87.65
Jharkhand,Seraikela Kharsawan,1063458,2725,22.70,85.92
Jharkhand,Simdega,599813,3750,22.60,84.50
Jharkhand,West Singhbhum,1501619,7186,22.57,85.82
Karnataka,Bagalkot,1890826,6583,16.12,75.45
Karnataka,Ballari,2532383,8439,15.15,76.93
Karnataka,Belgaum,4778439,13415,15.85,74.55
Karnataka,Bangalore Rural,987257,2239,13.27,77.62
Karnataka,Bangalore Urban,9588910,2190,12.97,77.55
Karnataka,Bidar,1700018,5448,17.90,77.50
Karnataka,Chamarajnagar,1020962,5102,12.00,77.30
Karnataka,Chikkaballapur,1254377,4208,13.43,77.72
Karnataka,Chikkamagaluru,1137753,7201,13.30,75.73
Karnataka,Chitradurga,1660378,8437,14.00,76.50
Karnataka,Dakshina Kannada,2083625,4559,12.87,74.88
Karnataka,Davanagere,1946905,5926,14.23,75.90
Karnataka,Dharwad,1846993,4265,15.38,75.12
Karnataka,Gadag,1065235,4651,15.40,75.75
Karnataka,Gulbarga,2564892,10990,17.33,76.83
Karnataka,Hassan,1776221,6814,0.00,0.00
Karnataka,Haveri,1598506,4825,14.80,75.40
Karnataka,Kodagu,554762,4102,12.42,75.73
Karnataka,Kolar,1540231,4012,13.13,78.13
Karnataka,Koppal,1391292,5565,15.57,76.00
Karnataka,Mandya,1808680,4961,12.52,76.90
Karnataka,Mysuru,2994744,6854,12.22,76.48
Karnataka,Raichur,1924773,6839,16.22,77.35
Karnataka,Ramanagara,1082739,3573,12.72,75.28
Karnataka,Shimoga,1755512,8495,14.00,75.28
Karnataka,Tumakuru,2681449,10598,13.33,77.10
Karnataka,Udupi,1177908,3879,13.35,74.75
Karnataka,Uttara Kannada,1353299,10291,14.60,74.70
Karnataka,Vijayapura,2175102,10517,13.28,77.80
Karnataka,Yadgir,1172985,5225,16.75,77.13
Kerala,Alappuzha,2121943,1415,9.48,76.48
Kerala,Ernakulam,3279860,3063,10.00,76.33
Kerala,Idukki,1107453,4356,9.85,76.93
Kerala,Kannur,2525637,2961,11.87,75.35
Kerala,Kasaragod,1302600,1989,12.50,75.00
Kerala,Kollam,2629703,2483,8.80,76.60
Kerala,Kottayam,1979384,2206,9.58,76.52
Kerala,Kozhikode,3089543,2345,11.25,75.77
Kerala,Malappuram,4110956,3554,11.03,76.07
Kerala,Palakkad,2810892,4482,10.77,76.65
Kerala,Pathanamthitta,1195537,2652,9.27,76.78
Kerala,Thrissur,3110327,3027,10.52,76.22
Kerala,Thiruvananthapuram,3307284,2189,8.28,76.68
Kerala,Wayanad,816558,2130,11.62,76.08
Madhya Pradesh,Agar Malwa,0,2785,23.70,76.00
Madhya Pradesh,Alirajpur,728677,3182,22.30,74.35
Madhya Pradesh,Anuppur,749521,3747,23.12,81.70
Madhya Pradesh,Ashok Nagar,844979,4674,24.57,77.72
Madhya Pradesh,Balaghat,1701156,9229,21.97,80.33
Madhya Pradesh,Barwani,1385659,5432,22.02,74.92
Madhya Pradesh,Betul,1575247,10043,21.83,77.83
Madhya Pradesh,Bhind,1703562,4459,26.55,78.78
Madhya Pradesh,Bhopal,2368145,2772,23.27,77.40
Madhya Pradesh,Burhanpur,756993,3427,21.30,76.22
Madhya Pradesh,Chachaura-Binaganj,0,0,24.17,77.00
Madhya Pradesh,Chhatarpur,1762857,8687,24.90,79.57
Madhya Pradesh,Chhindwara,2090306,11815,22.05,78.93
Madhya Pradesh,Damoh,1263703,7306,21.88,80.78
Madhya Pradesh,Datia,786375,2694,25.67,78.45
Madhya Pradesh,Dewas,1563107,7020,22.95,76.05
Madhya Pradesh,Dhar,2184672,8153,22.60,75.30
Madhya Pradesh,Dindori,704218,7427,22.95,81.08
Madhya Pradesh,Guna,1240938,6485,24.63,77.32
Madhya Pradesh,Gwalior,2030543,5465,26.22,78.17
Madhya Pradesh,Harda,570302,3339,22.33,77.08
Madhya Pradesh,Hoshangabad,1240975,6698,22.67,77.50
Madhya Pradesh,Indore,3272335,3898,22.67,75.75
Madhya Pradesh,Jabalpur,2460714,5210,23.15,79.93
Madhya Pradesh,Jhabua,1024091,6782,22.77,74.60
Madhya Pradesh,Katni,1291684,4947,23.83,80.38
Madhya Pradesh,Khandwa (East Nimar),1309443,7349,0.00,0.00
Madhya Pradesh,Khargone (West Nimar),1872413,8010,0.00,0.00
Madhya Pradesh,Maihar,0,0,24.25,80.75
Madhya Pradesh,Mandla,1053522,5805,22.70,81.00
Madhya Pradesh,Mandsaur,1339832,5530,24.07,75.07
Madhya Pradesh,Morena,1965137,4991,26.50,78.00
Madhya Pradesh,Narsinghpur,1092141,5133,22.92,79.17
Madhya Pradesh,Nagda,0,0,0.00,0.00
Madhya Pradesh,Neemuch,825958,4267,24.47,74.87
Madhya Pradesh,Niwari,0,0,0.00,0.00
Madhya Pradesh,Panna,1016028,7135,24.72,80.17
Madhya Pradesh,Raisen,1331699,8466,23.32,77.78
Madhya Pradesh,Rajgarh,1546541,6143,24.25,74.93
Madhya Pradesh,Ratlam,1454483,4861,23.32,75.03
Madhya Pradesh,Rewa,2363744,6314,24.52,81.28
Madhya Pradesh,Sagar,2378295,10252,23.80,78.67
Madhya Pradesh,Satna,2228619,7502,24.33,80.55
Madhya Pradesh,Sehore,1311008,6578,23.20,77.08
Madhya Pradesh,Seoni,1378876,8758,22.08,79.55
Madhya Pradesh,Shahdol,1064989,6205,23.30,81.35
Madhya Pradesh,Shajapur,1512353,6196,23.50,76.25
Madhya Pradesh,Sheopur,687952,6585,25.67,76.70
Madhya Pradesh,Shivpuri,1725818,10290,24.87,77.18
Madhya Pradesh,Sidhi,1126515,10520,24.42,81.88
Madhya Pradesh,Singrauli,1178132,5672,24.20,82.67
Madhya Pradesh,Tikamgarh,1444920,5055,24.73,78.82
Madhya Pradesh,Ujjain,1986864,6091,23.42,75.50
Madhya Pradesh,Umaria,643579,4062,23.52,80.83
Madhya Pradesh,Vidisha,1458212,7362,23.52,77.80
Maharashtra,Ahmednagar,4543083,17048,19.08,74.72
Maharashtra,Akola,1818617,5429,20.50,77.17
Maharashtra,Amravati,2887826,12235,20.93,77.75
Maharashtra,Aurangabad,3695928,10107,19.88,75.32
Maharashtra,Beed,2585962,10693,18.83,75.75
Maharashtra,Bhandara,1198810,3890,21.18,80.00
Maharashtra,Buldhana,2588039,9661,20.52,76.17
Maharashtra,Chandrapur,2194262,11443,19.95,79.30
Maharashtra,Dhule,2048781,8095,20.90,74.77
Maharashtra,Gadchiroli,1071795,14412,20.18,80.00
Maharashtra,Gondia,1322331,5431,21.45,80.18
Maharashtra,Hingoli,1178973,4526,19.72,77.15
Maharashtra,Jalgaon,4224442,11765,18.65,75.10
Maharashtra,Jalna,1958483,7718,19.83,75.88
Maharashtra,Kolhapur,3874015,7685,16.68,74.22
Maharashtra,Latur,2455543,7157,18.40,76.58
Maharashtra,Mumbai City,3145966,69,18.97,72.82
Maharashtra,Mumbai suburban,9332481,369,19.05,72.83
Maharashtra,Nanded,3356566,10528,19.15,77.32
Maharashtra,Nandurbar,1646177,5055,21.38,74.37
Maharashtra,Nagpur,4653171,9892,21.00,79.00
Maharashtra,Nashik,6109052,15539,19.98,73.78
Maharashtra,Osmanabad,1660311,7569,17.35,75.17
Maharashtra,Palghar,2990116,5344,19.68,72.77
Maharashtra,Parbhani,1835982,6511,19.50,76.75
Maharashtra,Pune,9426959,15643,18.52,73.83
Maharashtra,Raigad,2635394,7152,18.65,72.87
Maharashtra,Ratnagiri,1612672,8208,16.98,73.30
Maharashtra,Sangli,2820575,8572,16.85,74.57
Maharashtra,Satara,3003922,10475,17.70,74.00
Maharashtra,Sindhudurg,848868,5207,16.10,73.68
Maharashtra,Solapur,4315527,14895,17.83,75.50
Maharashtra,Thane,11060148,4214,19.20,72.97
Maharashtra,Wardha,1296157,6309,20.83,78.60
Maharashtra,Washim,1196714,5155,20.10,77.13
Maharashtra,Yavatmal,2775457,13582,20.10,78.20
Manipur,Bishnupur,240363,496,24.63,93.77
Manipur,Chandel,144028,3317,24.32,93.98
Manipur,Churachandpur,271274,4574,24.33,93.68
Manipur,Imphal East,452661,710,24.80,93.95
Manipur,Imphal West,514683,519,24.82,93.90
Manipur,Jiribam,43818,232,24.80,93.12
Manipur,Kakching,135481,0,24.48,93.98
Manipur,Kamjong,45616,2000,24.85,94.50
Manipur,Kangpokpi,0,0,25.13,93.97
Manipur,Noney,0,0,0.00,0.00
Manipur,Pherzawl,47250,2285,0.00,0.00
